"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"IC7";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC8";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC9";"L298";"L298";"MULTIWATT-15";"DUAL FULL-BRIDGE DRIVER";"";"L298N";"1589425";"32M1527";"";"";"";"";
"IC10";"7806DT";"7806DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"IC11";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC12";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC13";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC14";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";"";"";
"IC15";"7806DT";"7806DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"IC16";"LSM9DS1";"LSM9DS1";"LGA24_3.5X3.1MM";"";"";"";"";"";"";"";"";"";
"ICSP";"FEMALE 2x3";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-11566";"";"";"FEMALE 2x3";
"J1";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J2";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J19";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";"";
"J20";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";"";
"J21";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";"";
"J22";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";"";
"J23";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J24";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J25";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J26";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J27";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J28";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08438";"";"";"";
"J29";"";"CONN_09";"1X09";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"L1";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"L2";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"L3";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"L4";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"L5";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
